上联 下联
鸥歌四海、鸽唱五洋，沽口飞心曲，浪花翻作和平颂 莺语三春、燕啼万户，津门展玉宣，柳色调描大治图
春风又绿陵河岸 旭日尤红香水湾
莫以税收搪塞，控如割韭，禁而难绝 当从福祉考量，除要刨根，死乃不生
土为国宝须爱护 地系民生要珍惜
毫生万壑疏风，风长水阔 墨洒千山细雨，雨淡愁浓
武纬本文经，为汉唐后儒臣吐气 中兴媲开国，与顺康间元佐论勋
九域迎春，九域辉煌惊世界 三军报捷，三军威武卫中华
头回贵客三春暖 蜀沪佳肴一店融
一支粉笔仕途载 三块银毫官府资
敲门试问谁家对 入赘难言小妹联
教学集名师，师心架起腾云路 先生持叡智，智力开通折桂门
入股江湖，爱恨情仇皆福报 收藏岁月，酸甜苦辣自缘由
十里烟霞归瘦砚 一杯山水做闲人
利禄无情劳欲梦 功名有意惹贪心
雀跃黄山，仙人指路松迎客 梦游边塞，公主胡拍泪贾生
云路九秋高，驱毂振缨，桂子香时来日下 客怀三月远，停杯剪烛，木棉红处话波罗
碧水温柔，鱼戏莲叶南，鱼戏莲叶北 好风荡漾，燕剪柳丝短，燕剪柳丝长
从来好句出心灵，尤仿佛秋水盈怀，春花炫目 欲入名山寻事业，兹想象兰亭雅禊，金谷清游
这洞里神仙，谁曾见了 那天边风景，我亦思之
伦理修明，斯文未丧 河山巩固，我武维扬
南湖破浪，红船擎帜，历九秩峥嵘，咤雨叱风襄壮举 大业强华，伟略富民，织四方锦绣，光前裕后耀新程
忍见轻红浮远岸 无聊浅黛画纤眉
石头记下前生事 水浒传出后宋人
一任诗毫沾酒绿 随他尘俗放舟轻
三月春风聊解酒 一梅暖色广驱寒
舟横野渡人难过 廊曲小桥韵自生
工农并肩富强路 军民连心鱼水情
根基未稳少说事 枝叶不繁多施肥
赤枫畅饮三秋露 西岭如来二度春
葱茏一架诗成蔓 婉转三声绿溅篱
觉行圆满当称佛 智识无垠乃胜仙
行深渐与浮云会 念远每随明月遥
挣些票票回家转 弄个星星随便玩
大觉轻名利 中超重足金
孤舟一叶，数点寒鸦，临水夕阳天将晚 残月半钩，单星启明，望山晨霞曦已升
雪抱昆仑亘古立 公移王屋美名传
窗前依旧曾经月 帘内可怜无故人
成由勤俭败由奢，警钟常响 安念智贤危念忠，古训永铭
燧皇取火，火辟洪荒，圣火将山川点亮 商地生光，光辉禹甸，华光把岁月钤红
岁序已更羊与马 廉风尽扫虎和蝇
金城日月开新运 银汉风云发早春
东瀛地震，海啸长天，核泄大洋，天灾？人祸 利国兵荒，枪鸣巷内，弹沉街上，内乱？外侵
明月夜、短松岗，东坡幽梦江城子 斜阳时、长门事，稼轩深情摸鱼儿
掌乱世风云，挟持天子，号令诸侯，奸雄兀立三分鼎 居高峰境界，对酒当歌，赋诗横槊，文武长存万古名
青山做骨撑诗架 流水入弦弹晚凉
情丝万缕结成茧，何时化蝶 风雨一生终有头，今日升仙
雨不逢时人生厌 花正艳处蝶梦欢
贪字驻心头，已入歧途，还能转运 廉风吹脸上，常怀黎庶，堪比成仙
三阳开泰奔殷富 百族同歌颂党恩
帘疏烛暗斜风卷 砚涸笔秃翰墨干
万年瀛岛圣慈溥 兴化湄洲母德垂
孝布高风，多敬老奉亲，一片冰心无杂念 义播美德，耻追名逐利，千秋史笔有佳传
月入杯中诗喷薄 春来田野草迷离
夕阳影里群鸥远 白鹭滩头一叟闲
坚守一条红线，无垠国土应珍惜 精描万卷蓝图，有限资源莫透支
酒壮英雄胆 色迷浪子心
齐风鲁韵此交融，承万古文明，绿城尽已传天下 煤浪铁流今荟萃，铺一方锦绣，青眼不由朝岱东
蝶爱花心三点露 风苏柳眼几分春
水槛生风，翠扇红衣如欲语 土楼抱月，清砧古井自成秋
独孤求败、倚天屠龙、笑傲江湖，无人接招 笔底波澜、阳光四射、荷兰绿豆，有鬼出山
养在诗山春未老 游于宦海气犹闲
路头一错难回步 舌底千翻莫浪传
俊俏苏杭女，吴侬软语声声慢 精明穗广哥，粤俚琴弦步步高
古遗罄上稀声曲 花斜窗边淡韵香
数点梅花疏补白 学前萝莉练描红
十口心思，思国思君思社稷 八目尚赏，赏风赏月赏秋香
迎风对月无穷意 缀玉联珠有所言
八斗高才五斗米 一身正气终身廉
不以樊篱拘眼界 莫因俗世锁心扉
西府酒迷人，玉盏三杯愁化雾 东湖亭喜雨，柳林一凤醉冲天
道义契约何必解 精神支柱不能塌
胸怀两岸，浪静风平谋福址 手握一家，情真意切释前嫌
万丈红尘何负我 一番旧事笑由人
读书会里书生气 撰对联中对死词
远眺青山云障眼 静观赤玉色迷心
天德，地德，人德，天地人和全聚德 良缘，机缘，巧缘，良机巧遇好周缘
一隅诗土得花趣 几处画桥染柳情
古寺夜来香客少 幽松破晓鹤云闲
阳城黄老梁丘易 任昉衣冠文举尊
莫以多歧失正道 但将大杖戒偏心
通小学，建首五百四十部 祈大年，享日三万六千朝
慧眼诚心牵线者 情投意合结缘人
木秀四方，春风共沐荣桃李 言兴百世，社稷同评论计谋
此去江湖相忘远 不知山水几程深
傻子干妈同出阵 贫儿师父又教书
传承孝善乡风，感天动地 建设辉煌文化，震古烁今
野妇 宫嫔
红荷秀水书香屋 白鹤清云韵雅风
裁春风试手 临水月妆容
垂露悬针松落笔 淘沙叠浪水行文
义门德政江陵郡 世代贤声射石堂
天和地和人和，和融八桂 山乐水乐花乐，乐在今朝
情似太行山，拔地擎天，重义争先高境界 誉盈华夏史，生尧肇宋，尚和崇信大襟怀
月似高人明大道 山如前辈傲雄关
纳米 陈皮
烟树迷离春雨细 山花灿烂马蹄轻
郊外红梅融腊雪 门前翠竹醉春风
越岭攀山，戴月披星，做光明使者，何言辛苦 富民兴县，审时度势，当电力先锋，谁不风流
君子去仁，而愿为之有室 小人行险，不得受于其家
巧手春风十字绣 灵心雪月五弦琴
贪一杯酒，忆千年余梦 滴几行泪，想十月怀胎
万紫千红，实乃春风好色 三言两语，且听飞鸟调情
悟乃无忧即悟 玄而不妙非玄
雪映梅花梅映雪 人迷画境画迷人
聊借画图怡倦眼 只研朱墨作春山
浊酒一杯酣醉意 清茶几盏洗精神
水碧柴门寂 花红玉鞍喧
上海杭州，一帆风顺 临沂青岛，满面气多
蝶舞清风花含笑 韵追锦瑟马蹄轻
茶叶滴清春雨细 山花烂漫燕声稠
试笔春风，万里江山融画卷 调筝秋月，九重宫阙泻云涛
九如欲使川方至 百岁还看日正中
云霄腾凤羽 海宇显鸿名
心存挂碍，常钩起如潮往事 腹有珠玑，已串成似水年华
富贫分化 男女同酬
浮云烁星谓憧憬 清风醉月赋相思
耕圃七旬，树木尽堪梁栋用 蜚声九域，名黉相伴武夷传
笔耕本是心耕作 墨田方为诗田书
临屏扯蛋风流客 对镜脱衣艳照人
万法皆缘起 一心即性空
孔雀 鲤鱼
莫放相思樽底醒 已教故事指间飞
春雨风流天下绿 秋霞夕照海边红
偶然失足不劳教 一夜坐怀没乱来
日月分明争黑白 人言持信道真诚
丙年春满 子夜灯红
龙潜终得跃 鸟倦亦知还
潮兴朝夕，史话沧桑，一涨汶水千秋韵 花艳莱芜，火红岁月，多彩香山四季春
酒驾入刑，试问驾车人，莫道红白依旧 危行违法，敢邀行路者，且将观念更新
廉洁为公仆本色 勤政是民众心声
一世病狂无药治 满身憔悴怕花开
华堂设帏绵瓜瓞 水榭开筵赏藕花
免税到农家，一家喜气如春酿 流丹辉梓里，十里香尘扑马飞
月下常思风一诺 牌中不意十三飞
深情厚意，海内比邻共春色 有心无缘，咫尺天涯独伤神
葳蕤黑土联兴，大师人驾鹤 旖旎松江春近，杜宇梦传声
足下起祥云，俯瞰南天连翠嶂 身边升朗月，欲斟北斗饮银潢
又见霜天孤雁影 犹闻鼓角旧城楼
喜鹊登梅跳腊雪 蜜蜂戏柳唱春风
十八大催春，春铺华夏 万千家贴福，福满中原
榴火映山红满眼 柳光照水翠一湖
津路控吴趋，君子至斯欣得见 垂亭掬惠水，好山相对欲忘机
吉星高照平安宅 鸿福常临和睦家
若近兰香当舞墨 如无明月不吟诗
唯我向梅争冷傲 任人负手笑疏狂
京九路宽，看万马奔腾，清郡不输后劲 运河岸阔，待千帆竞驶，甘陵更占先机
但愿万民安享福 不求一己得升官
溪上千峰明翠色 云中一鹤淡青光
柳 荷
寂寞此登临，何况春归花又落 繁华须等待，应知秋到果方香
年去嫦娥舒广袖，梦圆天宇 春来奥运展雄姿，声斐人寰
身许梅花，自北宋后无多知己 云埋剑气，是西湖第几日主人
树立宏图多伟略 荣登金榜有奇方
风生先动水 泉浅欲开池
鸿福富民多幸福 元宵消夜乐今宵
鸭戏荷花摇绿袖 蝉鸣柳岸抱蛇腰
砚中余墨梅花味 笔底幽芳菊蕊香
得名乐，得名忧，不朽文章从德出 连底清，连底冻，有成事业以廉传
上流社会下流事 东部家乡西部情
最恨风霜欺老树 休贪月色负梅花
春光开画卷 秋色满农田
念东南民力几何？敢以茧丝忘保障 同上下考成安属，愿将抚字寓催科
山林岂无作者 宇宙不少清流
一剪闲云吟入句 几杯老酒醉成泥
醒后谁能追旧梦 生时我想了前缘
苍颜多皱牙稀少 柳色新黄眉展开
性原古意具三俊 杏与春风共一家
银镰收割小康梦 捷报传输壮士情
长天落日，有幸皆陪后土庙 逝水流云，无时不唱秋风歌
一身孩子气 满腹少年愁
心门紧闭红颜瘦 铁槛已囚暮色明
杯里无奇唯苦涩 壶中深奥集甘辛
菁华一鼎融国粹 驽马四蹄栓擂台
大树参天，叶茂根深风华永盛 神州照日，山清水秀物理常春
犹闻甲士喑呜，海上惊涛鸣鼓角 誓雪马关耻辱，胸中热血染旌旗
千载古城，举办摄影年展，助力文化建设伟业 长寿之乡，品尝连州菜心，见证生态开发宏图
天公巧使丹青手 岩壁细描山水图
庆云紫气锦芳泽 瑞霭祥光照吉庭
五亩自栽池上竹 一樽径醉溪中云
陌间信步聆春语 槛外调声试柳弦
青龙依旧，断壁残垣辉煌去 天井翻新，雕梁画栋幸福来
万里赋高楼，极目驰怀，白云不掩瓯江月 四时兴福地，遥天阔水，锦浪犹传半岛钟
凉风一夜秋虫老 明月中天雪雁悲
史上留痕，碑上铭功，取胜且凭谋略远 心中筑梦，亭中揉韵，流芳好享诗篇长
捍红旗，打江山，来昆景仰英雄志 驱黑暗，求解放，故土昭铭烈士功
明月分辉，聚它四海楩楠，妆斯广厦 匠心焕彩，倾我一城锦绣，饰尔新居
读耕勤俭家兴旺 忠孝仁和国富强
此去天涯须尽醉 一浮沧海几多愁
静静消沉，旧梦无痕夜雾里 丝丝入扣，乡情有寄月光中
早点起来吃早点 正经开始吟正经
物转星移，春色晴明屏上看 心随律动，歌声美妙掌中听
背影 腰花
望远邀风月 登高抱朴真
千百万户，户户是储户 七十二行，行行连建行
人凤和鸣，心灵共舞 山川不老，义勇长存
五羊献瑞 九域呈祥
一叶一竿竹 五言五百篇
秋水临冬冷 夏天落日迟
长寿智灯传普济 峡山明月照莲峰
神仙阁上起会 公侯洞下往来
借来历史前车鉴 敲响当今警世钟
最苦人情无底价 尤悲罪犯有头衔
少 多
岁月烟云文墨舞 人生风雨诗歌吟
作梦草堂甘化蝶 垂竿濮水笑谈龟
一任闲游，把脚放开，穿径随风踏露 何妨小憩？将心静下，披襟与鸟谈天
香港地苏，诗盈春色骚人醉 神州璧合，杯满月光笑语长
春于深处芳菲尽 鸟在寒时啼语稀
道不同躬身礼让 齿何缺张口风流
顺风托故剑 逆水锁行舟
楼前斜雁书山色 塔顶落鸿蹴月烟
丹崖泻瀑悬帘密 翠岫飞云落幔轻
水库开闸，浪卷涛奔流万里 联花吐蕊，蜂狂蝶戏闹三春
杏雨纷纷红野渡 玉林黛黛绿荒山
月浸一湾水 风开四面窗
流水线 滚雪球
人生无奈错肩过 风月不关依旧寻
风光不再春心老 正气长存景象新
初春浅染，千株嫩柳缠堤绿 仲夏深涵，百顷娇荷覆水红
救恩传万代 圣道著千秋
莫像章鱼，肚里难存二两墨 要如蜡烛，全身当献一方光
野水无情流浪去 才郎有意探花来
前后左右，男女老少，皆我衣食父母 东西南北，酸甜麻辣，任君饭菜酒茶
莫负才华，琴韵书声来左右 无惭时代，秦风汉赋写春秋
红豆不堪采，满身相思泪 玉盘任由赏，举目团圆情
温文精雅范成大 妩丽清新秦少游
日永华堂，祥光四射 云连夏屋，气象一新
五湖三亩宅 万里一归人
党引新程，改革攻坚圆国梦 政施大法，实行反腐顺民心
西窗竹影瘦 小院笛声悠
岗位岗位，如同鸡肋 郑南郑南，失业剑寒
地抱昆仑天抱月 你游大陆我游台
无饰方出真自我 弄虚总想骗他人
后人不见井中史 先正犹存座右铭
进尺先锋当典范 喜人业绩立标杆
雪夜梅残韵歌断 暮天雁去枯叶飘
鉴古观今，善恶忠奸终有报 听歌赏舞，悲欢离合总关情
三山难果腹 四海怎容身
双石鼓 三牌楼
谈破长安万张口 重礼天台七卷经
逆水行舟须尽力 煽风点火有阴谋
大赌场、小赌场，大小赌场赌大小 古学者、今学者，古今学者学古今
壬辰岁龙门跃鲤 盛世年凤阙鸣凰
提篮拾暮色 呼犬入柴门
或实或权皆是教 一瞻一礼总归真
太监亦能泰健 政协也有正邪
嫦娥梦里情思漫 月亮船中意态新
严持戒律，登坛对青天不惧 尽革先心，祭月处暗室无亏
一路东风乘骏力 九州廉政暖人心
敬业奉献辉煌增 江心岛上倡廉洁
蜜蜂采蜂蜜 油菜榨菜油
沧浪鬓发青松骨 龙马精神海鹤姿
培字当先，古邑宏开千里路 林泉泽后，绿杨分作万家春
众哑随从，千口难言心里话 胜家超生，八刀分贝囊中贫
荷下蛙儿擂夜鼓 寺中和尚撞晨钟
凤哕日方升，响叶莺歌燕语 兰芳风正拂，光摇柳绿桃红
出车门，进家门，乐淘淘爱女花衣慈父酒 包饺子，听梆子，红火火新春爆竹小康年
竹静观山，林幽听水 兰修映日，室曲当风
美景良宵，寻花醉月随君意 华年丽日，济海凌峰迫鳖心
或俗或雅，语言入画，高看是虹低是塔 怱曲怱直，思路出神，横观成岭侧成峰
秋高花清瘦 春暖柳细长
水墨江南真写意 风流才子不拘泥
宽广情怀，惊天号子添活力 文明渔俗，漫地秧歌祭海神
花前邀月饮 石上踏苔行
藕白梨黄，桔红茶绿 鲈鲜鲤嫩，鸭壮鸡肥
解放风行，起凤腾蛟，长春雪霁天浮白 红旗喜报，送牛迎虎，大地阳骄人踏青
烟开兰叶香风暖 帘卷池心小阁虚
愁多因睡少 交浅莫言深
一壶春水三山醉 几笔江南百岭幽
凤舞丹山，挟紫气春风于翰墨 宾至古镇，罗象纬雅致在心胸
一世无缘，功名利禄 三生不解，富贵荣华
抗战已两载，宋土常流烈士血 冲锋数千里，杀身不负少年头
面上千山耸 票中百卉荣
前贤所宝惟德 君子以道爱人
日落溪边树 鸿衔岭外云
孤溪堆雪色 老鹤唳春风
虫鸣花影中秋月 客醒乡情半夜风
年年月月，勤勤俭俭，积积攒攒，家家富富裕裕 去去来来，取取存存，角角元元，户户欢欢欣欣
共结丝萝山海固 永成鸾凤地天长
